"","_id","OBJECTID","Neighbourhood","Hood_ID","Population","Assault_2014","Assault_2015","Assault_2016","Assault_2017","Assault_2018","Assault_2019","Assault_AVG","Assault_CHG","Assault_Rate_2019","AutoTheft_2014","AutoTheft_2015","AutoTheft_2016","AutoTheft_2017","AutoTheft_2018","AutoTheft_2019","AutoTheft_AVG","AutoTheft_CHG","AutoTheft_Rate_2019","BreakandEnter_2014","BreakandEnter_2015","BreakandEnter_2016","BreakandEnter_2017","BreakandEnter_2018","BreakandEnter_2019","BreakandEnter_AVG","BreakandEnter_CHG","BreakandEnter_Rate_2019","Homicide_2014","Homicide_2015","Homicide_2016","Homicide_2017","Homicide_2018","Homicide_2019","Homicide_AVG","Homicide_CHG","Homicide_Rate_2019","Robbery_2014","Robbery_2015","Robbery_2016","Robbery_2017","Robbery_2018","Robbery_2019","Robbery_AVG","Robbery_CHG","Robbery_Rate_2019","TheftOver_2014","TheftOver_2015","TheftOver_2016","TheftOver_2017","TheftOver_2018","TheftOver_2019","TheftOver_AVG","TheftOver_CHG","TheftOver_Rate_2019","Shape__Area","Shape__Length","geometry"
"1",1,16,"South Parkdale","085",21849,202,226,231,229,220,251,226.5,0.14,1148.8,13,20,23,19,17,20,18.7,0.18,91.5,45,51,71,58,78,89,65.3,0.14,407.3,0,0,1,0,0,1,0.3,1,4.6,24,35,41,30,35,33,33,-0.06,151,6,4,9,10,9,22,10,1.44,100.7,2286974.07055664,10802.8321601963,list(c(-79.4277365687988, -79.4294424194047, -79.4303786663674, -79.4316812906783, -79.433122270554, -79.4331617200024, -79.4334459220097, -79.433478912876, -79.4335221318036, -79.4335528466373, -79.4335846846421, -79.4336165171986, -79.4336107990007, -79.433787706386, -79.4344323445564, -79.4348190602339, -79.4350411585909, -79.4350934168007, -79.4351508862752, -79.4352162046176, -79.4353154731612, -79.4354774518014, -79.4356263626197, -79.4358031316118, -79.4358475830014, -79.4358933000043, -79.4359306160738, 
-79.4363114617717, -79.4362961900399, -79.4363300466138, -79.4363181834961, -79.4363384862403, -79.436605958534, -79.4367616985458, -79.436903450777, -79.4370138657416, -79.4370375643209, -79.4370934309516, -79.4371425148636, -79.4372474574242, -79.4374861130084, -79.4375571916899, -79.4375724184292, -79.4376875238775, -79.437790772291, -79.4379837563602, -79.4381637263718, -79.4384333019568, -79.4385770708716, -79.4386489653144, -79.4388361647774, -79.4389694578367, -79.4390129023237, -79.4391357328737, 
-79.4392256188424, -79.4393158915072, -79.439318628694, -79.4392813059792, -79.4392489842507, -79.4392474911984, -79.4392667276893, -79.4392515866068, -79.4393533028425, -79.4393698101842, -79.4397065472534, -79.4396790078057, -79.4397367351408, -79.4397642739823, -79.4398757035804, -79.4398914309928, -79.4399216782787, -79.4399670179748, -79.4400272986301, -79.4400025011288, -79.4399667167129, -79.4399669066272, -79.4399560765162, -79.4400179346696, -79.4401629864868, -79.4402781752887, -79.4404275066787, 
-79.4404957681695, -79.4406856652885, -79.4408435719215, -79.4409267909679, -79.4409630590918, -79.4409971925365, -79.4411017504463, -79.4412340739868, -79.4413984113823, -79.4415819816079, -79.4417523425215, -79.4418669462953, -79.4419651409025, -79.4421380748067, -79.4424070694259, -79.4424882079842, -79.442639818602, -79.4427401784962, -79.4427850083291, -79.4427935635561, -79.4428853907415, -79.442930223468, -79.4429835864229, -79.4429942395352, -79.4431856672838, -79.4435580825199, -79.4438790592761, 
-79.4438782300072, -79.4438740583988, -79.4441799584004, -79.4447218384085, -79.445304492584, -79.4456978014532, -79.4459483467389, -79.4459778124848, -79.4461171527714, -79.4463195902369, -79.4463526167364, -79.446387652822, -79.4464343750897, -79.4464810879499, -79.4464839865038, -79.4465452803608, -79.4466124278649, -79.4466649576327, -79.4467087450056, -79.4467963280551, -79.4468576428114, -79.4469189743793, -79.4469598668516, -79.4469978355977, -79.4470679015778, -79.4471496530409, -79.4472751891659, 
-79.4474532905011, -79.447602192965, -79.4476839614182, -79.4477920120155, -79.4479030072428, -79.4480023063875, -79.4481512799931, -79.4482622790433, -79.4483382194303, -79.4484346202981, -79.4485368799571, -79.4486975587123, -79.4489006577307, -79.4489904609151, -79.4490706164816, -79.4491415794641, -79.4491980634224, -79.4492466693764, -79.4492873897555, -79.4493175863215, -79.4493832348175, -79.4494790981404, -79.4495657683144, -79.4496826047314, -79.4497159962386, -79.4497719397028, -79.4498408039937, 
-79.4499548663249, -79.4500538689424, -79.4501334936472, -79.4502109716622, -79.4502497086114, -79.450269082637, -79.4502992131422, -79.4503207385232, -79.4503465581068, -79.4503551516536, -79.4503831406245, -79.450398202893, -79.4504111133407, -79.4504261738667, -79.450447681731, -79.4504756668512, -79.4505294733077, -79.4505811394904, -79.4506995229053, -79.4508814076224, -79.4509459841795, -79.4510041010003, -79.4510471393925, -79.4512149937302, -79.4514818270654, -79.451714249494, -79.4518433614054, 
-79.4519380473174, -79.4520779395002, -79.4522457896289, -79.4523964113402, -79.4525534953803, -79.4527212601489, -79.4529000326249, -79.4530260663239, -79.4532699437017, -79.4533484495315, -79.4534496506361, -79.4536168371508, -79.4537136436886, -79.4537928483969, -79.453867658043, -79.4540040831017, -79.4541228965141, -79.4542152912907, -79.4543253173287, -79.4544221390193, -79.4548490389388, -79.4551923078037, -79.4554080192454, -79.4557345973873, -79.4559055693989, -79.456097371353, -79.4562412231661, 
-79.4563353526805, -79.4564170321602, -79.4565058247908, -79.4565768541785, -79.4566833874271, -79.4568300201848, -79.4568991845256, -79.4569548671702, -79.4570190285011, -79.4571061954183, -79.4572502509457, -79.4573785773681, -79.4575238648385, -79.4576376624664, -79.4577784714513, -79.4578604412702, -79.4579391429362, -79.458033593351, -79.4581316823861, -79.4582685179409, -79.4584067788555, -79.458497656211, -79.4586256925755, -79.4586613496701, -79.458688895154, -79.4587099550475, -79.4587358812669, 
-79.4587585574987, -79.4587786423532, -79.4588822586559, -79.458950285319, -79.4589946624636, -79.4590612369491, -79.4591381755544, -79.459247648601, -79.4593260612547, -79.4593896706031, -79.4594488379138, -79.459537589953, -79.4596014175857, -79.4596567932467, -79.4597000906923, -79.45972952933, -79.4597788810315, -79.4599281243682, -79.4599825195715, -79.4600539962431, -79.4601504124291, -79.4602518304553, -79.460328298125, -79.4604363662358, -79.4605211711118, -79.4606225906804, -79.4607090445335, 
-79.4607805529913, -79.4608487298069, -79.4609002786928, -79.4609551521909, -79.46101833178, -79.4611151414645, -79.461152443014, -79.4612175030597, -79.4612874675186, -79.4613193841885, -79.4613586509029, -79.4613832039966, -79.4614077406972, -79.4614273677803, -79.4614347262278, -79.4614433211996, -79.4614445379219, -79.4614482097361, -79.4614629277864, -79.4615009567378, -79.4615328671798, -79.4615647692038, -79.461590549871, -79.4616175490861, -79.4616482331972, -79.4617034811458, -79.4617894079838, 
